Destination_Port,Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Flow_Bytes_per_s,Flow_Packets_per_s,FIN_Flag_Count,SYN_Flag_Count,ACK_Flag_Count,Label
8695,63,1,1,6,6,190476.1905,31746.03175,0,0,1,BENIGN
8690,17,1,1,6,6,705882.3529,117647.0588,0,0,1,BENIGN
8694,123,1,1,6,6,97560.97561,16260.1626,0,0,1,BENIGN
57683,4,2,0,12,0,3000000.0,500000.0,0,0,1,BENIGN
57662,4,2,0,12,0,3000000.0,500000.0,0,0,1,BENIGN
54864,49,2,0,12,0,244897.9592,40816.32653,0,0,1,BENIGN
57680,3,2,0,12,0,4000000.0,666666.6667,0,0,1,BENIGN
60954,46,1,1,0,0,0.0,43478.26087,0,0,1,BENIGN
57681,3,2,0,12,0,4000000.0,666666.6667,0,0,1,BENIGN
55270,3,2,0,12,0,4000000.0,666666.6667,0,0,1,BENIGN
55271,251170,3,0,18,0,71.66460963,11.9441016,0,0,1,BENIGN
57674,49,2,0,12,0,244897.9592,40816.32653,0,0,1,BENIGN
50485,62,1,1,0,0,0.0,32258.06452,0,0,1,BENIGN
57686,175,2,1,12,6,102857.1429,17142.85714,0,0,1,BENIGN
33666,37,1,1,0,0,0.0,54054.05405,0,0,1,BENIGN
8883,3,2,0,12,0,4000000.0,666666.6667,0,0,1,BENIGN
8884,3,2,0,12,0,4000000.0,666666.6667,0,0,1,BENIGN
55245,96,1,1,6,6,125000.0,20833.33333,0,0,1,BENIGN
55150,1,2,0,12,0,12000000.0,2000000.0,0,0,1,BENIGN
55040,48,2,0,12,0,250000.0,41666.66667,0,0,1,BENIGN
55039,1,2,0,12,0,12000000.0,2000000.0,0,0,1,BENIGN
55043,999588,2,0,12,0,12.00494604,2.00082434,0,0,1,BENIGN
55039,75,1,1,6,6,160000.0,26666.66667,0,0,1,BENIGN
55040,32,1,1,6,6,375000.0,62500.0,0,0,1,BENIGN
53,71693,2,2,74,176,3487.09079,55.79345264,0,0,0,BENIGN
53,60738,2,2,74,200,4511.179163,65.85663012,0,0,0,BENIGN
21,126188,20,25,176,440,4881.605224,356.6107712,0,0,0,BENIGN
34805,8003,15,6,19897,0,2486192.678,2624.015994,0,0,0,BENIGN
34805,1,2,0,617,0,617000000.0,2000000.0,0,1,1,BENIGN
21,50,1,2,0,0,0.0,60000.0,0,0,1,BENIGN
139,75,3,1,4,4,106666.6667,53333.33333,0,1,1,BENIGN
443,208,4,0,46,0,221153.8462,19230.76923,0,0,1,BENIGN
443,514004,3,1,0,6,11.67306091,7.782040607,0,0,1,BENIGN
80,60130920,5,3,216,1533,29.08653318,0.133043033,0,0,0,BENIGN
80,60130912,5,3,213,1619,30.46685871,0.133043051,0,0,0,BENIGN
443,3895966,5,1,135,46,46.45831098,1.540054508,0,1,1,BENIGN
443,3895242,5,1,135,46,46.46694608,1.540340754,0,1,1,BENIGN
443,3896308,5,1,135,46,46.45423308,1.539919329,0,1,1,BENIGN
443,3895052,5,1,135,46,46.46921273,1.540415892,0,1,1,BENIGN
443,3896461,5,1,135,46,46.45240899,1.539858862,0,1,1,BENIGN
53,31020664,8,4,372,452,26.56293882,0.386838915,0,0,0,BENIGN
53,83718,4,2,184,300,5781.313457,71.66917509,0,0,0,BENIGN
445,10706606,29,24,8142,4220,1154.614263,4.950214849,0,0,0,BENIGN
80,60166984,6,4,237,4593,80.27658491,0.16620411,0,0,0,BENIGN
53,24027,2,2,68,100,6992.133849,166.4793774,0,0,0,BENIGN
8080,1029807,3,3,0,18,17.47900335,5.826334449,0,0,0,BENIGN
80,2979847,2,1,0,0,0.0,1.006763099,0,0,1,BENIGN
80,28315,1,1,6,6,423.8036376,70.63393961,0,0,1,BENIGN
80,28466,1,1,6,6,421.5555399,70.25925666,0,0,1,BENIGN
443,101027175,14,12,1029,991,19.99462026,0.257356498,0,1,1,BENIGN
53,330,2,2,74,198,824242.4242,12121.21212,0,0,0,BENIGN
53,221,2,2,74,106,814479.638,18099.54751,0,0,0,BENIGN
53,302,2,2,70,460,1754966.887,13245.03311,0,0,0,BENIGN
53,283,2,2,70,460,1872791.519,14134.27562,0,0,0,BENIGN
53,166,2,2,70,302,2240963.855,24096.38554,0,0,0,BENIGN
53,275,2,2,80,290,1345454.545,14545.45455,0,0,0,BENIGN
53,266,2,2,80,326,1526315.789,15037.59398,0,0,0,BENIGN
53,102033,2,2,64,196,2548.195192,39.20300295,0,0,0,BENIGN
53,51453,2,2,64,204,5208.637009,77.74085087,0,0,0,BENIGN
53,1140,2,2,72,246,278947.3684,3508.77193,0,0,0,BENIGN
53,293,2,2,72,328,1365187.713,13651.87713,0,0,0,BENIGN
22,1333970,41,42,2664,6954,7210.057198,62.22028981,0,0,0,BENIGN
22,187,1,1,0,0,0.0,10695.18717,0,0,1,BENIGN
22,1335604,41,42,2728,6634,7009.562715,62.14416848,0,0,0,BENIGN
22,111,1,1,0,0,0.0,18018.01802,0,0,1,BENIGN
443,143347,47,60,1325,108751,767898.8748,746.4404557,0,0,0,BENIGN
443,143899,46,58,1325,110185,774918.5192,722.7291364,0,0,0,BENIGN
443,142605,45,58,1325,108751,771894.3936,722.274815,0,0,0,BENIGN
443,142499,46,53,1313,100063,711415.5187,694.7417175,0,0,0,BENIGN
443,23828,27,31,162,59368,2498321.303,2434.11113,1,0,0,BENIGN
443,119090,23,28,1169,45025,387891.5106,428.2475439,0,0,0,BENIGN
443,23841,26,31,156,59368,2496707.353,2390.83931,1,0,0,BENIGN
443,199037,47,63,1325,100049,509322.3873,552.661063,0,0,0,BENIGN
443,142923,46,60,1307,95705,678771.0865,741.6580956,0,0,0,BENIGN
443,446800,23,28,1169,43577,100147.7171,114.1450313,0,0,0,BENIGN
443,141851,47,55,1325,98601,704443.3948,719.0643704,0,0,0,BENIGN
443,145376,51,60,1331,110185,767086.7268,763.5373101,0,0,0,BENIGN
443,142904,47,56,1313,104393,739699.3786,720.7635895,0,0,0,BENIGN
443,142508,50,59,1331,104393,741881.1575,764.8693407,0,0,0,BENIGN
443,142561,48,59,1319,110185,782149.3957,750.5559024,0,0,0,BENIGN
443,142389,52,60,1337,110185,783220.614,786.5776148,0,0,0,BENIGN
443,142403,45,58,1319,103922,739036.3967,723.2993687,0,0,0,BENIGN
443,142089,45,55,1313,104393,743942.1771,703.7842479,0,0,0,BENIGN
443,142098,49,58,1325,104393,743979.5071,753.0014497,0,0,0,BENIGN
443,128912,21,26,1169,43577,347105.0019,364.5897977,0,0,0,BENIGN
443,143215,50,61,1337,110185,778703.3481,775.0584785,0,0,0,BENIGN
443,185921,48,58,1337,105841,576470.6515,570.1346271,0,0,0,BENIGN
443,131198,29,50,1169,92809,716306.651,602.1433254,0,0,0,BENIGN
443,187746,48,64,1331,100049,539984.8732,596.5506589,0,0,0,BENIGN
443,188450,47,59,1325,100049,537935.792,562.4834174,0,0,0,BENIGN
443,300724,49,65,1325,102959,346776.4462,379.0851412,0,0,0,BENIGN
443,195652,49,60,1343,105841,547829.8203,557.1116063,0,0,0,BENIGN
443,143173,51,58,1337,104393,738477.2269,761.3167287,0,0,0,BENIGN
443,142748,47,57,1325,108751,771121.1365,728.5566173,0,0,0,BENIGN
443,142235,47,57,1319,101497,722860.0555,731.1843077,0,0,0,BENIGN
443,152597,42,51,1283,95705,635582.613,609.4484164,0,0,0,BENIGN
443,142263,47,58,1331,104393,743158.7974,738.0696316,0,0,0,BENIGN
443,142478,49,57,1325,104393,741995.2554,743.9745083,0,0,0,BENIGN
443,125417,29,55,1169,98601,795506.1913,669.7656618,0,0,0,BENIGN
443,188411,43,59,1313,105841,568724.756,541.3696653,0,0,0,BENIGN
443,141785,44,55,1313,93786,670726.8047,698.2402934,0,0,0,BENIGN
443,155181,78,106,1457,215903,1400686.94,1185.712168,0,0,0,BENIGN
443,200946,47,56,1325,100049,504483.7917,512.5755178,0,0,0,BENIGN
443,142298,45,55,1301,104393,742765.1829,702.7505657,0,0,0,BENIGN
443,196861,44,58,1319,105841,544343.4708,518.132083,0,0,0,BENIGN
443,197144,45,56,1313,100049,514152.0919,512.3158706,0,0,0,BENIGN
443,142230,53,61,1343,110185,784138.3674,801.5186669,0,0,0,BENIGN
443,143922,46,59,1313,110185,774711.302,729.561846,0,0,0,BENIGN
443,142755,47,59,1331,108751,771125.3546,742.5309096,0,0,0,BENIGN
443,124970,31,50,1169,95705,775178.0427,648.1555573,0,0,0,BENIGN
443,142117,47,54,1325,102959,733789.7648,710.6820437,0,0,0,BENIGN
443,142224,45,54,1307,102959,733111.1486,696.0850489,0,0,0,BENIGN
443,143176,48,57,1319,104393,738336.034,733.3631335,0,0,0,BENIGN
443,142472,47,65,1319,110185,782637.992,786.1193778,0,0,0,BENIGN
443,185687,47,59,1325,105841,577132.4864,570.8531023,0,0,0,BENIGN
443,142746,42,56,1319,108751,771089.9079,686.5341235,0,0,0,BENIGN
443,185922,46,58,1319,105841,576370.7361,559.3743613,0,0,0,BENIGN
443,143435,49,58,1325,108751,767427.7547,745.9825008,0,0,0,BENIGN
443,186578,48,62,1331,100049,543365.2413,589.565758,0,0,0,BENIGN
443,190175,49,60,1337,105841,563575.654,573.1563034,0,0,0,BENIGN
443,142210,44,56,1313,110185,784037.6907,703.18543,0,0,0,BENIGN
443,142963,50,61,1337,110185,780075.9637,776.4246693,0,0,0,BENIGN
443,142878,48,61,1331,110185,780498.0473,762.8886183,0,0,0,BENIGN
443,190109,47,54,1331,107303,571430.0743,531.2741638,0,0,0,BENIGN
443,143397,49,59,1319,113081,797785.1698,753.1538317,0,0,0,BENIGN
443,250001,19,27,1169,46473,190567.2377,183.999264,0,0,0,BENIGN
443,188539,45,59,1319,104407,560764.6163,551.6100117,0,0,0,BENIGN
443,142469,48,59,1325,110185,782696.5866,751.0405772,0,0,0,BENIGN
443,23598,26,30,156,56486,2400288.16,2373.082465,1,0,0,BENIGN
443,142921,49,58,1325,104393,739695.3562,748.6653466,0,0,0,BENIGN
443,142553,44,55,1319,105855,751818.6218,694.4785448,0,0,0,BENIGN
443,142823,48,53,1319,104393,740160.8985,707.1690134,0,0,0,BENIGN
443,143432,49,61,1331,110185,777483.4068,766.9139383,0,0,0,BENIGN
443,153205,69,116,1415,215903,1418478.509,1207.532391,0,0,0,BENIGN
443,118987,22,27,1169,43577,376057.8887,411.8096935,0,0,0,BENIGN
443,143445,48,59,1331,105855,747227.1602,745.930496,0,0,0,BENIGN
443,24781,25,29,150,55024,2226463.823,2179.088818,1,0,0,BENIGN
443,142625,45,55,1319,108751,771744.0841,701.1393514,0,0,0,BENIGN
443,144147,47,58,1313,110185,773502.05,728.4230681,0,0,0,BENIGN
443,312417,24,31,1169,47921,157129.7337,176.046758,0,0,0,BENIGN
443,197560,44,56,1313,105841,542387.1229,506.1753391,0,0,0,BENIGN
443,207397,48,55,1337,105841,516777.0026,496.6320631,0,0,0,BENIGN
443,144045,48,58,1325,107289,754028.2551,735.8811483,0,0,0,BENIGN
443,201971,47,57,1325,100049,501923.5435,514.9254101,0,0,0,BENIGN
443,188080,43,56,1313,104407,562101.2335,526.3717567,0,0,0,BENIGN
443,142377,46,62,1325,105855,752790.1276,758.5494848,0,0,0,BENIGN
443,196656,44,58,1313,101511,522862.2569,518.6721992,0,0,0,BENIGN
443,141942,47,56,1319,104393,744754.8999,725.6485043,0,0,0,BENIGN
443,142878,50,61,1331,110185,780498.0473,776.8865746,0,0,0,BENIGN
443,125846,30,53,1169,98601,792794.3677,659.5362586,0,0,0,BENIGN
443,119881,20,26,1169,46473,397410.7657,383.7138496,0,0,0,BENIGN
443,23547,25,28,150,56486,2405232.089,2250.817514,1,0,0,BENIGN
443,142554,47,57,1313,104393,741515.4959,729.5481011,0,0,0,BENIGN
443,142702,44,53,1307,101497,720410.3657,679.7381957,0,0,0,BENIGN
443,142790,45,57,1325,108751,770894.3203,714.3357378,0,0,0,BENIGN
443,142342,41,50,1301,102959,732461.2553,639.305335,0,0,0,BENIGN
443,142780,47,57,1319,104393,740383.8073,728.3933324,0,0,0,BENIGN
443,142852,49,56,1325,110185,780598.1015,735.026461,0,0,0,BENIGN
443,142799,49,59,1331,107289,760649.5844,756.3078173,0,0,0,BENIGN
443,142500,49,59,1325,104393,741880.7018,757.8947368,0,0,0,BENIGN
443,459291,46,60,1319,108751,239651.9853,230.790501,0,0,0,BENIGN
443,196158,46,54,1319,101511,524220.2714,509.7931259,0,0,0,BENIGN
443,143476,49,57,1331,108751,767250.2718,738.7995205,0,0,0,BENIGN
443,118873,23,28,1169,45025,388599.5979,429.0293002,0,0,0,BENIGN
443,23773,26,31,156,59368,2503848.904,2397.678038,1,0,0,BENIGN
443,142438,45,57,1325,108751,772799.3934,716.1010405,0,0,0,BENIGN
443,152273,68,103,1427,215903,1427239.235,1122.983063,0,0,0,BENIGN
443,142918,48,58,1313,110185,780153.6545,741.6840426,0,0,0,BENIGN
443,142342,48,56,1331,107289,763091.7087,730.6346686,0,0,0,BENIGN
443,196159,46,61,1313,105841,546260.9414,545.475864,0,0,0,BENIGN
443,188391,46,61,1331,107303,576641.1347,567.9676842,0,0,0,BENIGN
443,141887,43,58,1313,104393,745001.3039,711.8340651,0,0,0,BENIGN
443,142743,50,58,1337,110185,781278.2413,756.604527,0,0,0,BENIGN
443,143077,48,58,1325,111647,789588.8228,740.8598167,0,0,0,BENIGN
443,145825,29,52,1169,98601,684176.2386,555.460312,0,0,0,BENIGN
443,142301,44,55,1313,104393,742833.8522,695.7083928,0,0,0,BENIGN
443,143379,50,60,1337,110185,777812.6504,767.1974278,0,0,0,BENIGN
443,394746,48,56,1319,105855,271501.1678,263.4605544,0,0,0,BENIGN
443,62079,8,3,1169,137,21037.71001,177.1935759,0,0,0,BENIGN
443,122255,22,30,1169,47921,401537.7694,425.3404769,0,0,0,BENIGN
443,142443,47,55,1325,101497,721846.6334,716.075904,0,0,0,BENIGN
443,23501,24,27,144,56472,2409088.975,2170.12042,1,0,0,BENIGN
443,143365,48,61,1319,108751,767760.611,760.2971437,0,0,0,BENIGN
443,142825,47,57,1325,108751,770705.4087,728.1638369,0,0,0,BENIGN
443,119793,23,31,1169,47921,409790.2215,450.7775913,0,0,0,BENIGN
443,142885,46,57,1313,111647,790565.8397,720.8594324,0,0,0,BENIGN
443,23422,25,33,150,55038,2356246.264,2476.304329,1,0,0,BENIGN
443,142724,43,62,1319,102959,730626.9443,735.685659,0,0,0,BENIGN
443,143161,47,53,1307,111647,788999.7974,698.5142602,0,0,0,BENIGN
443,196340,49,60,1331,105841,545849.0374,555.1594173,0,0,0,BENIGN
443,118573,21,26,1169,43577,377370.9023,396.3802889,0,0,0,BENIGN
443,189314,48,59,1337,105841,566138.7959,565.198559,0,0,0,BENIGN
443,142909,40,52,1301,102959,729555.1715,643.7663128,0,0,0,BENIGN
443,144762,42,56,1319,98601,690236.388,676.9732388,0,0,0,BENIGN
443,142378,45,56,1319,104393,742474.2587,709.379258,0,0,0,BENIGN
443,24067,23,28,138,55024,2292018.116,2119.084223,1,0,0,BENIGN
443,119537,20,28,1169,46473,398554.4225,401.5493111,0,0,0,BENIGN
443,142424,49,58,1325,108751,772875.3581,751.2778745,0,0,0,BENIGN
443,142848,49,60,1337,107289,760430.6676,763.0488351,0,0,0,BENIGN
443,23488,22,27,132,56486,2410507.493,2086.171662,1,0,0,BENIGN
443,131864,40,49,1289,95705,735560.8809,674.9378147,0,0,0,BENIGN
443,142592,44,56,1319,104393,741359.9641,701.3016158,0,0,0,BENIGN
443,143358,43,59,1319,104393,737398.6802,711.5054619,0,0,0,BENIGN
443,142675,49,63,1331,110185,781608.5509,785.0008761,0,0,0,BENIGN
443,142797,47,58,1325,104393,740337.6822,735.3095653,0,0,0,BENIGN
443,142740,47,58,1319,108751,771122.3203,735.6031946,0,0,0,BENIGN
443,142247,42,56,1313,104393,743115.8478,688.9424733,0,0,0,BENIGN
443,195966,47,57,1325,100049,517304.0221,530.7043058,0,0,0,BENIGN
443,186390,51,61,1343,105841,575052.3097,600.8906057,0,0,0,BENIGN
443,143354,48,59,1325,104393,737461.1103,746.4040069,0,0,0,BENIGN
443,142817,39,49,1289,98601,699426.5389,616.1731447,0,0,0,BENIGN
443,142734,52,61,1337,110185,781327.5043,791.6824303,0,0,0,BENIGN
443,127932,27,50,1169,95705,757230.4037,601.8822499,0,0,0,BENIGN
443,187229,46,58,1319,107303,580155.8519,555.4695053,0,0,0,BENIGN
443,142653,49,61,1331,110185,781729.0909,771.1019046,0,0,0,BENIGN
443,38668,4,1,517,0,13370.22861,129.305886,0,0,0,BENIGN
443,143726,49,58,1325,104393,735552.3705,744.4721206,0,0,0,BENIGN
443,122712,42,52,1301,95705,790517.6348,766.021253,0,0,0,BENIGN
443,234766,44,57,1319,102959,444178.4586,430.215619,0,0,0,BENIGN
443,142541,51,68,1337,110185,782385.4189,834.8475176,0,0,0,BENIGN
443,146679,43,53,1301,104393,720580.3148,654.4904179,0,0,0,BENIGN
443,143835,41,52,1301,101497,714693.9201,646.5741996,0,0,0,BENIGN
443,119714,19,26,1169,47921,410060.6445,375.8958852,0,0,0,BENIGN
443,142820,47,53,1319,102959,730135.8353,700.1820473,0,0,0,BENIGN
443,189539,48,64,1337,105841,565466.7377,590.9074122,0,0,0,BENIGN
443,142826,46,58,1319,108751,770658.0034,728.1587386,0,0,0,BENIGN
443,23822,23,28,138,60830,2559314.919,2140.87818,1,0,0,BENIGN
443,187835,48,56,1337,105841,570596.5342,553.6774297,0,0,0,BENIGN
443,142291,43,60,1301,102959,732723.7844,723.8686916,0,0,0,BENIGN
443,143701,47,62,1313,107289,755749.786,758.5194258,0,0,0,BENIGN
443,196404,48,57,1331,100049,516180.9332,534.6123297,0,0,0,BENIGN
443,142241,43,54,1313,98601,702427.5701,681.9412124,0,0,0,BENIGN
443,224404,44,58,1325,108751,490526.0156,454.5373523,0,0,0,BENIGN
443,143577,43,55,1301,107289,756318.909,682.5605773,0,0,0,BENIGN
443,267407,75,105,1463,215903,812865.7814,673.1312195,0,0,0,BENIGN
443,149954,50,55,1337,105855,714832.5486,700.2147325,0,0,0,BENIGN
443,190688,47,60,1331,105841,562028.0248,561.1260279,0,0,0,BENIGN
443,118946,21,25,1169,46473,400534.6964,386.7301128,0,0,0,BENIGN
443,23623,28,32,168,57920,2458959.489,2539.897557,1,0,0,BENIGN
443,148237,48,60,1319,110185,752200.8675,728.5630443,0,0,0,BENIGN
443,142601,45,57,1301,110185,781803.7742,715.2825015,0,0,0,BENIGN
443,190581,48,59,1337,105841,562375.0531,561.4410671,0,0,0,BENIGN
443,144000,45,56,1319,110185,774333.3333,701.3888889,0,0,0,BENIGN
443,142239,43,54,1313,104393,743157.6431,681.9508011,0,0,0,BENIGN
443,143462,49,63,1325,110185,777279.0007,780.6945393,0,0,0,BENIGN
443,186148,48,55,1325,105841,575703.2039,553.3231622,0,0,0,BENIGN
443,142726,49,60,1325,104393,740705.9681,763.7010776,0,0,0,BENIGN
443,141542,44,54,1295,101497,726229.6703,692.373995,0,0,0,BENIGN
443,109618,21,23,1169,43577,408199.3833,401.3939317,0,0,0,BENIGN
443,188543,49,66,1337,105841,568453.8805,609.940438,0,0,0,BENIGN
443,141771,47,55,1337,102959,735665.263,719.4701314,0,0,0,BENIGN
443,216108,48,58,1319,110185,515964.2401,490.495493,0,0,0,BENIGN
443,198167,44,52,1319,101511,518905.7714,484.4398916,0,0,0,BENIGN
443,129383,42,50,1289,95705,749665.7212,711.0671417,0,0,0,BENIGN
443,123065,40,51,1289,95705,788152.6023,739.4466339,0,0,0,BENIGN
443,141527,45,53,1319,104393,746938.7467,692.4473775,0,0,0,BENIGN
443,142160,47,58,1325,110185,784397.8616,738.6043894,0,0,0,BENIGN
443,197510,49,57,1337,100049,513320.8445,536.681687,0,0,0,BENIGN
443,143658,47,63,1313,104393,735817.0098,765.7074441,0,0,0,BENIGN
443,197458,48,58,1331,100049,513425.6399,536.8230206,0,0,0,BENIGN
443,187013,49,62,1343,105841,573136.6269,593.5416254,0,0,0,BENIGN
443,142868,43,53,1319,102959,729890.5283,671.9489319,0,0,0,BENIGN
443,153015,22,27,1169,46473,311355.0959,320.2300428,0,0,0,BENIGN
443,82618,12,12,1169,14617,191072.1635,290.493597,0,0,0,BENIGN
443,143452,48,65,1319,113081,797479.2962,787.7199342,0,0,0,BENIGN
443,24058,27,30,162,60816,2534624.657,2369.274254,1,0,0,BENIGN
443,198395,45,56,1325,100049,510970.5386,509.0854104,0,0,0,BENIGN
443,118945,19,25,1169,43577,376190.6764,369.9188701,0,0,0,BENIGN
443,142273,47,54,1319,101497,722666.9853,709.9027925,0,0,0,BENIGN
443,142936,47,57,1313,104393,739533.7774,727.5983657,0,0,0,BENIGN
443,142803,49,59,1325,104393,740306.5762,756.2866326,0,0,0,BENIGN
443,187656,48,57,1337,105841,571140.8108,559.5344673,0,0,0,BENIGN
443,143460,44,54,1313,104393,736832.5666,683.1172452,0,0,0,BENIGN
443,23445,23,29,138,54553,2332736.191,2217.95692,1,0,0,BENIGN
443,118468,22,27,1169,46473,402150.7918,413.6138029,0,0,0,BENIGN
443,142724,46,56,1319,105855,750917.8554,714.6660688,0,0,0,BENIGN
443,142270,43,52,1313,102959,732916.2859,667.7444296,0,0,0,BENIGN
443,122968,43,58,1307,101497,836022.3798,821.3518964,0,0,0,BENIGN
443,142478,50,64,1331,110185,782689.2573,800.1235278,0,0,0,BENIGN
443,143531,45,56,1313,110185,776821.7319,703.680738,0,0,0,BENIGN
443,142245,42,56,1301,102959,732960.7368,688.95216,0,0,0,BENIGN
443,118879,21,27,1169,47921,412940.8895,403.7719025,0,0,0,BENIGN
443,118011,21,26,1169,46473,403708.1289,398.2679581,0,0,0,BENIGN
443,143745,49,59,1331,110185,775790.4623,751.3304811,0,0,0,BENIGN
443,23739,25,28,150,56486,2385778.676,2232.613,1,0,0,BENIGN
443,23395,24,28,144,55038,2358709.126,2222.697158,1,0,0,BENIGN
443,142170,45,54,1319,100063,713104.0304,696.3494408,0,0,0,BENIGN
443,143016,47,55,1313,104393,739120.0985,713.2069139,0,0,0,BENIGN
443,35739,4,1,517,0,14465.98954,139.903187,0,0,0,BENIGN
443,313728,29,54,1169,98601,318014.3309,264.5603835,0,0,0,BENIGN
443,118733,22,30,1169,47921,413448.6621,437.9574339,0,0,0,BENIGN
443,23638,27,30,162,61793,2620991.624,2411.37152,1,0,0,BENIGN
443,143395,40,51,1295,102959,727040.6918,634.6106907,0,0,0,BENIGN
443,188834,45,56,1313,105841,567450.7769,534.8613068,0,0,0,BENIGN
443,143901,48,58,1319,104393,734616.1597,736.6175357,0,0,0,BENIGN
443,142310,46,54,1307,104393,742744.7122,702.6913077,0,0,0,BENIGN
443,142471,49,63,1325,104393,742031.7117,786.1248956,0,0,0,BENIGN
443,143392,48,65,1319,104393,737223.834,788.0495425,0,0,0,BENIGN
443,142776,43,53,1307,102959,730276.7972,672.3819129,0,0,0,BENIGN
443,189269,49,56,1331,105841,566241.6983,554.765968,0,0,0,BENIGN
443,142761,47,57,1331,108751,771092.9456,728.490274,0,0,0,BENIGN
443,142255,47,59,1319,104393,743116.2349,745.1407683,0,0,0,BENIGN
443,188499,46,59,1325,105841,568522.9099,557.0321328,0,0,0,BENIGN
443,118899,22,29,1169,47921,412871.4287,428.9354831,0,0,0,BENIGN
443,186555,46,57,1319,105841,574415.0519,552.115998,0,0,0,BENIGN
443,196173,45,57,1313,100049,516696.997,519.9492285,0,0,0,BENIGN
443,143040,48,58,1331,108751,769588.9262,741.0514541,0,0,0,BENIGN
443,126748,31,52,1169,98601,787152.46,654.84268,0,0,0,BENIGN
443,142635,41,55,1313,102959,731040.7684,673.0465874,0,0,0,BENIGN
443,142665,50,59,1337,104393,741106.7886,764.0276171,0,0,0,BENIGN
443,143050,47,66,1325,108751,769493.1842,789.9335897,0,0,0,BENIGN
443,142709,46,57,1325,108751,771331.8712,721.7484531,0,0,0,BENIGN
443,144905,49,59,1343,110185,769662.8826,745.3158966,0,0,0,BENIGN
443,143357,48,65,1337,110185,777932.0159,788.2419414,0,0,0,BENIGN
